id,name,timestamp,changePercent24Hr,explorer,symbol,priceUsd,maxSupply,rank,volumeUsd24Hr,vwap24Hr
bitcoin,Bitcoin,2023-04-03 05:57:35,-2.677526386832933,https://blockchain.info/,BTC,27747.709174772823,21000000.0,1,4138997260.3780394,28145.94992504691
ethereum,Ethereum,2023-04-03 05:57:35,-2.333931949154345,https://etherscan.io/,ETH,1782.0418971923448,,2,2594171884.251794,1800.573408703981
tether,Tether,2023-04-03 05:57:35,-0.119962007476521,https://www.omniexplorer.info/asset/31,USDT,1.0017989695797862,,3,8238648087.553191,1.001764618759499
binance-coin,BNB,2023-04-03 05:57:35,-2.1857021873248166,https://etherscan.io/token/0xB8c77482e45F1F44dE1745F52C74426C631bDD52,BNB,309.89122279894553,166801148.0,4,118919372.32202892,313.8854547016757
usd-coin,USD Coin,2023-04-03 05:57:35,-0.1135003538294699,https://etherscan.io/token/0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,1.0012267157924524,,5,582058948.3691926,1.0020921042040187
xrp,XRP,2023-04-03 05:57:35,-1.2630428827902638,https://xrpcharts.ripple.com/#/graph/,XRP,0.5103959595908463,100000000000.0,6,568546991.2696741,0.5192998711563006
cardano,Cardano,2023-04-03 05:57:35,-1.1465900915372214,https://cardanoexplorer.com/,ADA,0.3849258310643497,45000000000.0,7,104053297.9316016,0.3816930175229945
dogecoin,Dogecoin,2023-04-03 05:57:35,-8.104377638516425,http://dogechain.info/chain/Dogecoin,DOGE,0.0780723949701114,,8,284522242.2361452,0.080719678496697
polygon,Polygon,2023-04-03 05:57:35,-2.5558275550268323,https://etherscan.io/token/0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0,MATIC,1.085978336912866,10000000000.0,9,109074183.43245415,1.100908182664688
solana,Solana,2023-04-03 05:57:35,-4.41068240085934,https://explorer.solana.com/,SOL,20.125670817837364,,10,76340740.65996213,20.604212201388624
binance-usd,Binance USD,2023-04-03 05:57:35,-0.1077579082514095,https://etherscan.io/token/0x4Fabb145d64652a948d72533023f6E7A623C7C53,BUSD,1.0008857553466748,,11,366465152.7103315,1.0020321900016076
polkadot,Polkadot,2023-04-03 05:57:35,-3.871943584155771,https://polkascan.io/polkadot,DOT,6.187923489960806,,12,60939636.38254455,6.313273380907517
